,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
21,56.0,35.0,villeneuve,12.0,1.0,Finished,108432.0,257683.0,347628.0,435932.0,523841.0,611536.0,699130.0,786648.0,873805.0,961342.0,1048388.0,1135380.0,1222839.0,1310815.0,1398708.0,1486137.0,1574112.0,1661711.0,1748707.0,1835756.0,1923522.0,2010364.0,2097291.0,2184080.0,2270833.0,2357451.0,2445288.0,2569750.0,2656381.0,2743226.0,2830608.0,2918311.0,3006519.0,3094345.0,3182730.0,3270696.0,3358497.0,3445901.0,3534334.0,3622549.0,3709855.0,3797291.0,3884488.0,3971173.0,4058325.0,4144658.0,4231742.0,4319148.0,4426983.0,4513600.0,4600011.0,4685901.0,4771339.0,4856807.0,4943079.0,5029622.0,5116571.0,5203128.0,5289983.0,5376532.0,5462647.0,5548856.0
11,56.0,21.0,fisichella,8.0,1.0,Finished,109065.0,258133.0,348183.0,436746.0,524808.0,613227.0,701127.0,788700.0,876654.0,964138.0,1052316.0,1139616.0,1226919.0,1314177.0,1401344.0,1488576.0,1575929.0,1663599.0,1751430.0,1838519.0,1925984.0,2012682.0,2099590.0,2186527.0,2273664.0,2360079.0,2446673.0,2533273.0,2620659.0,2725963.0,2812225.0,2899193.0,2985879.0,3072932.0,3159419.0,3245988.0,3332634.0,3418605.0,3504868.0,3591046.0,3677004.0,3762726.0,3848079.0,3933552.0,4019036.0,4104519.0,4190203.0,4277585.0,4382049.0,4469542.0,4555979.0,4642137.0,4728784.0,4815313.0,4901916.0,4988600.0,5075629.0,5161194.0,5247027.0,5333317.0,5420847.0,5506686.0
2,56.0,3.0,rosberg,11.0,1.0,Finished,109882.0,258324.0,348625.0,437563.0,525793.0,613937.0,702136.0,790048.0,877853.0,965560.0,1053257.0,1140649.0,1228150.0,1315588.0,1402615.0,1490045.0,1577981.0,1665328.0,1752869.0,1840225.0,1927876.0,2014865.0,2102360.0,2189629.0,2276759.0,2363823.0,2452030.0,2562389.0,2649014.0,2735432.0,2822916.0,2910324.0,2998858.0,3086613.0,3174572.0,3262273.0,3349994.0,3437360.0,3524455.0,3611773.0,3698920.0,3785963.0,3872494.0,3959201.0,4046046.0,4132577.0,4219931.0,4307700.0,4414402.0,4501426.0,4588744.0,4676161.0,4763367.0,4850544.0,4937391.0,5024426.0,5111325.0,5197932.0,5284891.0,5371883.0,5459133.0,5546161.0
7,56.0,14.0,coulthard,17.0,30.0,Driveshaft,112082.0,258914.0,349880.0,439139.0,527778.0,616166.0,704569.0,792618.0,880527.0,968648.0,1056475.0,1144296.0,1232277.0,1320184.0,1407641.0,1495315.0,1583098.0,1670813.0,1758058.0,1845445.0,1932720.0,2020940.0,2108274.0,2195959.0,2283599.0,2370876.0,2459064.0,2566831.0,2654615.0,2741804.0,2829189.0,2916541.0,3003719.0,3091063.0,3178706.0,3266144.0,3353469.0,3440720.0,3527822.0,3614788.0,3701643.0,3788769.0,3875761.0,3962811.0,4049846.0,4137699.0,4272998.0,,,,,,,,,,,,,,,
1,56.0,2.0,heidfeld,13.0,11.0,+1 Lap,113352.0,259421.0,350888.0,440248.0,529173.0,617698.0,706035.0,794095.0,882171.0,971315.0,1059893.0,1148460.0,1236995.0,1325291.0,1413540.0,1501974.0,1590236.0,1678160.0,1766004.0,1853823.0,1941876.0,2029494.0,2117464.0,2205245.0,2292882.0,2381242.0,2468463.0,2556324.0,2664631.0,2751839.0,2839601.0,2927585.0,3015997.0,3104002.0,3192572.0,3280148.0,3367475.0,3454648.0,3542313.0,3630176.0,3717234.0,3804241.0,3891136.0,3978683.0,4066025.0,4153251.0,4240825.0,4327797.0,4415339.0,4503054.0,4590884.0,4696544.0,4782540.0,4868678.0,4955035.0,5041850.0,5128361.0,5214837.0,5301237.0,5387823.0,5474621.0,
14,56.0,24.0,liuzzi,14.0,11.0,+1 Lap,114055.0,260234.0,351437.0,440836.0,536234.0,624484.0,712877.0,800598.0,888846.0,976475.0,1063810.0,1151417.0,1239408.0,1327775.0,1416005.0,1504253.0,1592851.0,1680693.0,1768656.0,1856053.0,1943779.0,2031951.0,2121501.0,2209553.0,2298090.0,2406851.0,2493832.0,2581448.0,2669227.0,2756845.0,2846612.0,2935993.0,3023557.0,3111015.0,3198474.0,3286066.0,3373581.0,3460914.0,3548529.0,3636249.0,3722593.0,3808630.0,3894309.0,3981327.0,4089933.0,4176678.0,4263682.0,4350429.0,4437130.0,4523907.0,4610744.0,4697632.0,4784345.0,4870848.0,4957369.0,5043608.0,5129913.0,5216499.0,5303028.0,5389394.0,5476127.0,
15,56.0,26.0,speed,15.0,11.0,+1 Lap,116175.0,261100.0,351984.0,441677.0,530912.0,619444.0,707766.0,796010.0,884190.0,972260.0,1060529.0,1149066.0,1238035.0,1326210.0,1414446.0,1502787.0,1591172.0,1679149.0,1766875.0,1854510.0,1942518.0,2030208.0,2118095.0,2206979.0,2316054.0,2402785.0,2489913.0,2578387.0,2665876.0,2752871.0,2840301.0,2928242.0,3016478.0,3104550.0,3193145.0,3280802.0,3368245.0,3455606.0,3542814.0,3630786.0,3719664.0,3807142.0,3917670.0,4004688.0,4091983.0,4179340.0,4266762.0,4354005.0,4440650.0,4527257.0,4613898.0,4700202.0,4786798.0,4873254.0,4959699.0,5046110.0,5132358.0,5218732.0,5305096.0,5391369.0,5477717.0,
18,56.0,32.0,klien,19.0,9.0,Hydraulics,116897.0,262891.0,353296.0,442694.0,532130.0,620421.0,709329.0,797472.0,885569.0,973716.0,1061709.0,1150551.0,1238643.0,1327022.0,1415177.0,1503275.0,1591891.0,1679892.0,1767559.0,1855302.0,1943125.0,2031506.0,2120965.0,2208677.0,2295835.0,2383361.0,2470528.0,2559125.0,2667809.0,2754568.0,2841777.0,2929140.0,3017038.0,3105283.0,3196950.0,3284899.0,3372536.0,3460109.0,3548015.0,3636834.0,,,,,,,,,,,,,,,,,,,,,,
19,56.0,33.0,monteiro,16.0,12.0,+2 Laps,118041.0,263992.0,356437.0,447003.0,537170.0,627141.0,717867.0,807920.0,897502.0,986793.0,1076766.0,1166331.0,1255798.0,1345490.0,1433746.0,1521919.0,1611246.0,1722885.0,1812348.0,1902631.0,1991500.0,2081352.0,2171523.0,2260520.0,2351078.0,2440411.0,2529239.0,2618244.0,2710846.0,2800246.0,2889085.0,2976834.0,3064655.0,3153304.0,3243400.0,3333680.0,3424248.0,3555649.0,3646022.0,3736109.0,3827493.0,3917088.0,4007528.0,4096836.0,4186628.0,4278738.0,4368449.0,4457930.0,4546652.0,4635282.0,4723288.0,4810584.0,4897744.0,4990047.0,5080176.0,5168849.0,5256992.0,5344986.0,5433999.0,5524462.0,,
5,56.0,11.0,sato,18.0,20.0,Spun off,119279.0,264812.0,357509.0,449142.0,540760.0,631765.0,722865.0,813374.0,903924.0,994201.0,1084228.0,1174460.0,1265915.0,1356100.0,1446206.0,1538352.0,1628272.0,1721579.0,1811325.0,1903427.0,1995190.0,2086436.0,2177406.0,2268983.0,2382380.0,2473325.0,2563760.0,2653664.0,2745795.0,2835504.0,2925487.0,3019184.0,3112477.0,3202542.0,3292037.0,3381531.0,3471067.0,3564010.0,3653396.0,3742496.0,3832558.0,3922412.0,4035062.0,4125746.0,,,,,,,,,,,,,,,,,,
20,56.0,34.0,ide,20.0,22.0,Suspension,147729.0,362598.0,1171728.0,1265746.0,1359209.0,1453584.0,1549117.0,1641655.0,1737204.0,1832598.0,1928993.0,2022854.0,2116703.0,2213377.0,2304409.0,2395467.0,2486503.0,2579162.0,2676371.0,2771567.0,2862605.0,2953741.0,3050196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
