,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
16,216.0,71.0,damon_hill,8.0,11.0,+1 Lap,120841.0,230469.0,339810.0,448994.0,558906.0,668953.0,778436.0,887450.0,994777.0,1101337.0,1212631.0,1342375.0,1451910.0,1561454.0,1670562.0,1779822.0,1889893.0,2001062.0,2110983.0,2222771.0,2333233.0,2444408.0,2555482.0,2665318.0,2778126.0,2905094.0,3012656.0,3123380.0,3231459.0,3339089.0,3447084.0,3555436.0,3663689.0,3772507.0,3880560.0,3989395.0,4099640.0,4211724.0,4323263.0,4432449.0,4541359.0,4649503.0,4758209.0,4869273.0,
18,216.0,76.0,magnussen,15.0,5.0,Engine,121373.0,230980.0,340503.0,451505.0,560658.0,670210.0,779557.0,889553.0,999259.0,1108152.0,1216866.0,1326376.0,1434734.0,1542923.0,1651462.0,1760596.0,1873839.0,2001435.0,2111473.0,2222493.0,2332366.0,2444041.0,2554846.0,2663553.0,2771803.0,2880945.0,2989314.0,,,,,,,,,,,,,,,,,,
14,216.0,64.0,diniz,18.0,3.0,Accident,122128.0,231602.0,341344.0,450581.0,559417.0,669534.0,778839.0,889055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,216.0,82.0,fontana,9.0,11.0,+1 Lap,123887.0,233131.0,342329.0,452521.0,563223.0,672972.0,782157.0,891309.0,1001029.0,1110278.0,1219129.0,1328338.0,1451658.0,1561241.0,1670432.0,1779635.0,1889662.0,2000790.0,2110859.0,2221672.0,2332140.0,2443822.0,2557712.0,2670435.0,2787031.0,2915156.0,3023064.0,3133485.0,3243111.0,3351234.0,3459434.0,3568242.0,3677411.0,3785856.0,3894741.0,4003177.0,4111739.0,4222550.0,4332215.0,4441015.0,4550400.0,4659179.0,4768113.0,4878849.0,
13,216.0,63.0,salo,13.0,8.0,Clutch,124801.0,235546.0,345720.0,455751.0,565979.0,676142.0,786255.0,896214.0,1006524.0,1116487.0,1226715.0,1336810.0,1447007.0,1557215.0,1667833.0,1778081.0,1888659.0,1999590.0,2110050.0,2222244.0,2334378.0,2445519.0,2561891.0,2692579.0,2802190.0,2911960.0,3021851.0,3134287.0,3244987.0,3355758.0,3466051.0,3576327.0,3697819.0,,,,,,,,,,,,
17,216.0,75.0,nakano,7.0,1.0,Finished,124987.0,234249.0,343261.0,453181.0,563613.0,673583.0,783066.0,892129.0,1001845.0,1110902.0,1220018.0,1329249.0,1438086.0,1546458.0,1654971.0,1763375.0,1871501.0,1979710.0,2088363.0,2196847.0,2305405.0,2420007.0,2549867.0,2657806.0,2767103.0,2875434.0,2983610.0,3091968.0,3200626.0,3309128.0,3417459.0,3525691.0,3633966.0,3743668.0,3853365.0,3962055.0,4071174.0,4179740.0,4288651.0,4397089.0,4505483.0,4613964.0,4722477.0,4830749.0,4938768.0
9,216.0,50.0,verstappen,10.0,11.0,+1 Lap,125824.0,237082.0,347480.0,457639.0,568157.0,678833.0,789519.0,899998.0,1010668.0,1121106.0,1231537.0,1342270.0,1453509.0,1564287.0,1674629.0,1786797.0,1899600.0,2011429.0,2123514.0,2240209.0,2369794.0,2480463.0,2591432.0,2701997.0,2812514.0,2923528.0,3035143.0,3146401.0,3256772.0,3367153.0,3478488.0,3589175.0,3700315.0,3813954.0,3925123.0,4036104.0,4147015.0,4258424.0,4369907.0,4480906.0,4591775.0,4702977.0,4814659.0,4925839.0,
20,216.0,79.0,katayama,16.0,60.0,Out of fuel,126378.0,237500.0,348089.0,458737.0,569174.0,679637.0,790502.0,901035.0,1011962.0,1122358.0,1232627.0,1343888.0,1454665.0,1565259.0,1675749.0,1786956.0,1897491.0,2007873.0,2118287.0,2228536.0,2338866.0,2449027.0,2559425.0,,,,,,,,,,,,,,,,,,,,,,
1,216.0,14.0,coulthard,19.0,7.0,Transmission,142326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,216.0,49.0,frentzen,20.0,4.0,Collision,193699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,216.0,56.0,irvine,21.0,4.0,Collision,196256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
