,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
10,raikkonen,11,11,11,11,11,11,11,11,10,10,8,6,9,13,13,13,13,13,11,11,11,11,10,10,10,10,10,10,9,9,9,11,14,13,13,12,12,12,10,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6
11,hulkenberg,12,12,12,12,12,12,12,12,11,11,9,9,6,5,5,5,6,10,14,14,14,14,13,12,11,11,11,11,10,10,10,9,8,5,5,5,5,5,6,11,15,15,13,12,12,12,12,12,12,17,17,17,17,17,17,16,16,13,13
12,perez,13,13,13,13,13,13,13,13,12,12,11,10,7,7,7,7,8,11,16,16,16,16,15,15,14,13,13,13,13,13,12,12,11,7,7,7,7,7,9,15,16,16,14,13,13,13,13,13,13,11,11,11,11,11,11,11,10,10,10
13,ricciardo,14,14,14,14,14,15,15,15,14,14,17,21,20,18,17,16,16,16,15,15,15,15,14,14,13,12,12,12,12,12,14,15,15,14,14,13,13,13,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
14,vergne,15,15,15,15,15,14,14,14,13,13,12,12,18,17,15,15,15,15,13,13,13,13,12,13,16,14,14,14,14,14,13,13,12,11,11,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,kovalainen,16,16,16,16,16,16,16,17,16,15,14,16,22,20,18,17,17,17,17,17,17,17,16,16,15,16,17,17,17,17,16,16,16,16,16,16,15,15,13,12,10,10,11,14,17,17,17,17,17,16,15,15,15,15,15,14,15,15,14
16,glock,17,17,17,18,18,18,18,19,18,19,18,15,17,23,23,23,22,20,19,19,19,19,18,18,19,19,19,19,19,19,19,19,18,18,18,18,17,17,15,14,12,12,15,15,14,14,14,14,14,12,12,12,12,12,12,12,12,11,11
17,bruno_senna,18,18,18,17,17,17,17,16,15,18,21,20,16,16,14,14,14,14,12,12,12,12,11,11,12,15,15,15,15,15,15,14,13,15,15,14,14,14,12,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,0,0
18,kobayashi,19,19,19,19,19,19,19,18,17,16,15,14,12,14,21,20,18,18,18,18,18,18,17,17,17,17,16,16,16,16,17,17,17,17,17,17,16,16,14,13,11,11,10,10,10,10,10,10,10,14,16,16,16,16,16,15,14,12,12
19,pic,20,20,20,20,20,20,20,20,20,20,19,17,15,15,16,18,23,22,20,20,20,20,19,19,18,18,18,18,18,18,18,18,19,19,19,19,18,18,16,16,13,13,16,16,15,15,15,15,15,13,13,13,13,13,13,13,13,14,15
20,rosa,21,21,21,21,21,21,21,21,21,21,20,19,19,19,19,19,19,21,22,21,22,22,21,21,21,21,21,21,21,22,21,21,21,21,21,21,20,20,18,18,17,17,17,17,16,16,16,16,16,15,14,14,14,14,14,17,17,16,0
21,karthikeyan,22,22,22,22,22,22,22,22,22,22,22,22,21,21,20,21,20,19,21,23,23,23,22,22,22,22,22,22,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,petrov,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,21,23,23,22,21,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0
