,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
12,162.0,41.0,zonta,8.0,11.0,+1 Lap,96315.0,184187.0,272254.0,360190.0,447762.0,535430.0,622657.0,710067.0,797545.0,885054.0,972485.0,1060053.0,1147848.0,1235163.0,1322722.0,1410258.0,1497348.0,1584343.0,1671503.0,1758612.0,1845370.0,1932180.0,2019566.0,2109297.0,2218858.0,2305099.0,2391702.0,2478212.0,2564894.0,2651676.0,2738812.0,2826102.0,2913142.0,3000067.0,3087419.0,3174846.0,3261929.0,3349013.0,3436044.0,3523445.0,3610915.0,3697918.0,3784562.0,3871438.0,3961709.0,4071173.0,4157632.0,4244543.0,4333175.0,4420468.0,4507278.0,4594005.0,4681587.0,4768566.0,4855551.0,4942262.0,5029285.0,5116080.0,5202880.0,5289578.0,5375932.0,5462401.0,5549085.0,5636794.0,
17,162.0,56.0,irvine,11.0,11.0,+1 Lap,96963.0,185376.0,273649.0,361819.0,449690.0,537605.0,625024.0,712575.0,800275.0,887882.0,975391.0,1063234.0,1151187.0,1238715.0,1326563.0,1414223.0,1501882.0,1589292.0,1676543.0,1763939.0,1854230.0,1965168.0,2054410.0,2140887.0,2227599.0,2314199.0,2401005.0,2487820.0,2574655.0,2661605.0,2748649.0,2835229.0,2922414.0,3009035.0,3095935.0,3183744.0,3271375.0,3358313.0,3445181.0,3535190.0,3649674.0,3737495.0,3825337.0,3913851.0,4002474.0,4089804.0,4177722.0,4265392.0,4353179.0,4442420.0,4530208.0,4618176.0,4705748.0,4793204.0,4880463.0,4967561.0,5056972.0,5144357.0,5231411.0,5319024.0,5406759.0,5494139.0,5582247.0,5668486.0,
15,162.0,50.0,verstappen,18.0,6.0,Gearbox,97259.0,184741.0,272845.0,360920.0,448700.0,536502.0,624184.0,711504.0,799048.0,886519.0,974223.0,1061847.0,1149943.0,1237714.0,1325609.0,1413308.0,1500971.0,1588123.0,1675464.0,1763204.0,1850585.0,1937784.0,2025001.0,2112402.0,2202930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,162.0,25.0,wurz,10.0,11.0,+1 Lap,97670.0,186325.0,274176.0,362330.0,450190.0,538159.0,625652.0,713419.0,801031.0,888695.0,976147.0,1063906.0,1152050.0,1239679.0,1327292.0,1414956.0,1505113.0,1615240.0,1701387.0,1787723.0,1874629.0,1961362.0,2048230.0,2135096.0,2222265.0,2309207.0,2396334.0,2483070.0,2569946.0,2656776.0,2743454.0,2829920.0,2916627.0,3002999.0,3090257.0,3177648.0,3266908.0,3385399.0,3472712.0,3560209.0,3648854.0,3736794.0,3824778.0,3913123.0,4001087.0,4088715.0,4176432.0,4264116.0,4352169.0,4441319.0,4529019.0,4616639.0,4704236.0,4791795.0,4879124.0,4966211.0,5053608.0,5141059.0,5228835.0,5318290.0,5405952.0,5493194.0,5580384.0,5667444.0,
21,162.0,65.0,herbert,13.0,11.0,+1 Lap,98060.0,187026.0,274819.0,362779.0,450778.0,538733.0,626407.0,714124.0,801772.0,889633.0,977248.0,1064864.0,1152663.0,1240539.0,1328420.0,1416075.0,1503933.0,1591128.0,1681569.0,1793747.0,1881556.0,1968550.0,2055697.0,2142766.0,2229892.0,2317156.0,2404292.0,2491420.0,2578844.0,2666072.0,2753173.0,2840082.0,2927205.0,3014204.0,3101405.0,3188686.0,3276030.0,3366420.0,3477787.0,3564472.0,3651377.0,3738976.0,3826690.0,3914858.0,4003296.0,4090936.0,4178668.0,4266630.0,4355695.0,4443791.0,4531490.0,4619325.0,4706816.0,4794413.0,4883692.0,4971191.0,5058640.0,5146059.0,5238402.0,5346339.0,5433675.0,5521075.0,5608342.0,5699102.0,
5,162.0,21.0,fisichella,9.0,11.0,+1 Lap,98493.0,187508.0,275273.0,363517.0,451431.0,539380.0,627256.0,715008.0,802581.0,890413.0,978114.0,1065775.0,1154025.0,1241641.0,1329149.0,1416787.0,1504571.0,1594434.0,1703454.0,1790363.0,1877015.0,1963563.0,2050090.0,2136853.0,2225266.0,2311932.0,2398957.0,2485747.0,2572348.0,2659285.0,2746370.0,2832977.0,2919506.0,3005858.0,3092496.0,3182917.0,3269736.0,3356429.0,3443465.0,3530152.0,3619438.0,3729913.0,3816400.0,3904429.0,3991281.0,4078041.0,4164698.0,4251883.0,4339252.0,4426308.0,4513477.0,4600559.0,4687469.0,4778724.0,4865619.0,4952277.0,5039293.0,5126314.0,5213137.0,5299929.0,5386715.0,5473901.0,5560767.0,5647458.0,
16,162.0,55.0,alesi,20.0,4.0,Collision,98729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,162.0,37.0,rosa,21.0,4.0,Collision,99009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,162.0,48.0,gene,14.0,12.0,+2 Laps,99794.0,188959.0,276274.0,364432.0,452358.0,540401.0,628445.0,716419.0,804309.0,892081.0,979758.0,1067434.0,1155356.0,1243282.0,1331217.0,1419359.0,1510282.0,1625992.0,1711957.0,1797872.0,1884588.0,1972006.0,2062038.0,2173702.0,2260657.0,2350452.0,2439013.0,2526059.0,2613752.0,2701641.0,2789414.0,2876820.0,2964227.0,3051762.0,3139589.0,3227314.0,3315473.0,3403774.0,3494940.0,3604880.0,3691501.0,3778310.0,3865374.0,3953350.0,4040818.0,4128255.0,4215477.0,4303781.0,4391463.0,4479168.0,4566637.0,4655259.0,4742443.0,4830117.0,4917700.0,5004977.0,5092023.0,5179464.0,5267630.0,5359503.0,5468551.0,5556619.0,5644121.0,,
1,162.0,2.0,heidfeld,16.0,13.0,+3 Laps,100309.0,189662.0,277292.0,365089.0,453188.0,540807.0,629110.0,716957.0,804846.0,892959.0,980697.0,1068280.0,1156281.0,1244430.0,1332482.0,1420300.0,1511008.0,1623067.0,1709730.0,1796632.0,1884132.0,1971656.0,2060406.0,2148124.0,2236012.0,2325069.0,2413022.0,2500919.0,2588887.0,2679155.0,2767095.0,2854652.0,2942238.0,3030002.0,3117490.0,3204863.0,3292443.0,3380351.0,3470992.0,3561750.0,3674482.0,3779036.0,3911996.0,4009895.0,4102938.0,4192984.0,4283107.0,4373170.0,4462583.0,4552177.0,4641691.0,4733131.0,4822695.0,4915190.0,5025801.0,5115268.0,5206036.0,5295384.0,5384307.0,5473535.0,5565500.0,5655134.0,,,
19,162.0,60.0,mazzacane,15.0,12.0,+2 Laps,100784.0,190453.0,278645.0,367130.0,455404.0,543952.0,632092.0,720444.0,808625.0,896755.0,984916.0,1073111.0,1161366.0,1249155.0,1337269.0,1425501.0,1513413.0,1605020.0,1693850.0,1781594.0,1869584.0,1960923.0,2071407.0,2158945.0,2246483.0,2336109.0,2433079.0,2523484.0,2611539.0,2699661.0,2787496.0,2875121.0,2962907.0,3050687.0,3138564.0,3226539.0,3314902.0,3403122.0,3491075.0,3580408.0,3670365.0,3761992.0,3873514.0,3961192.0,4049021.0,4138265.0,4229796.0,4343392.0,4431512.0,4519327.0,4608079.0,4696169.0,4786094.0,4874337.0,4962197.0,5050574.0,5138814.0,5228076.0,5317861.0,5408646.0,5498432.0,5586625.0,5674841.0,,
